puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,3.4,"['David Douglas', 'Tim Douglas']","['David Douglas', 'Christopher Salazar']",Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?,100,Accion,for the cause,tt0113092
,6.2,Mazhar Khan,-,-,167,Accion,gang,tt0116391
,6.3,Kenneth Guertin,"['Kenneth Guertin', 'James Bonner']","Alan Freeling, an idealistic inventor, discovers the ultimate energy source. Upon doing so he opens the door to a covert agency that funnels its every resource into destroying Alan's life and hiding this new technology. Their objective is to erase Alan and his family by any means necessary. In a turn of events, Robert Skotak, one of the top officials at the agency, de... Leer todo",86,Accion,the incorporated,tt0116628
8,5.4,"['Michael Coldewey', 'Michel Lemire']","['Kevin Eastman', 'Simon Bisley', 'Eric Talbot']","After surviving an invasion on her peaceful homeworld, a beautiful avenger must stop a powerful psychopath from gaining immortality and rescue her kidnapped sister.",88,Accion,heavy metal 2000,tt0119273
56,6.1,John Woo,"['Bruce Geller', 'Ronald D. Moore', 'Brannon Braga']",-,123,Accion,mission: impossible ii,tt0120755
50,6.6,"['Don Bluth', 'Gary Goldman']","['Hans Bauer', 'Randall Mc', 'Cormick', 'Ben Edlund']",-,94,Accion,titan a.e.,tt0120913
,6.6,Henry Burrows,Henry Burrows,"Four students sharing a house in Manchester are rudely interrupted one evening when their pizza-delivery man is attacked and taken over by couple of aliens that have crash-landed their spacecraft, and then the aliens decide that all witnesses to their existence must be eliminated...",78,Accion,foiled,tt0120673
82,7.3,Bryan Singer,"['Tom De', 'Santo', 'Bryan Singer', 'David Hayter']",-,104,Accion,x-men,tt0120903
18,4.9,Bharat Nalluri,"[""James O'Barr"", 'Chip Johannessen']",Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,102,Accion,the crow: salvation,tt0132910
,7.0,David Twohy,"['Jim Wheat', 'Ken Wheat', 'David Twohy']",-,109,Accion,the chronicles of riddick: pitch black,tt0134847
68,6.6,Jonathan Mostow,"['Jonathan Mostow', 'Sam Montgomery', 'David Ayer']",-,116,Accion,u-571,tt0141926
28,4.1,Lorenzo Doumani,"['Lorenzo Doumani', 'Mark Stevens']","Inspired by her father, a former boxer whose family duties superseded his athletic ambitions, a young woman (Sophia Adella Hernandez) decides to enter the sport.",99,Accion,knockout,tt0143344
11,4.6,Douglas Aarniokoski,"['Gregory Widen', 'Eric Bernt', 'Gillian Horvath']",-,87,Accion,highlander: endgame,tt0144964
40,4.5,"['Alan Jacobs', 'Evan Ricks']","['Jeff Wolverton', 'Gregory Davis', 'Robert Jay Litz']",The story of the legendary sailor who helps a beautiful princess save her father and their seaside kingdom from the clutches of an Evil Wizard.,82,Accion,sinbad: beyond the veil of mists,tt0144608
50,4.1,Tom Putnam,"['Michael S. Harbour', 'Jeff Malmberg', 'Tom Putnam']","Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one step ahead of The Man. There's only one problem: Steven's white.",90,Accion,shafted!,tt0147486
51,6.1,Mansoor Khan,"['Aatish Kapadia', 'Mansoor Khan', 'Nidhi Tuli']","Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.",162,Accion,josh,tt0151150
,4.8,Glenn Klinker,Glenn Klinker,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent.",90,Accion,yup yup man,tt0157202
16,5.7,Christian Duguay,"['Wayne Beach', 'Simon Barry']",-,117,Accion,the art of war,tt0160009
68,5.6,"['Mc', 'G']","['Ryan Rowe', 'Ed Solomon', 'John August']",-,98,Accion,charlie's angels,tt0160127
67,6.0,John Singleton,"['Ernest Tidyman', 'John Singleton', 'Shane Salerno']",-,99,Accion,shaft,tt0162650
26,5.8,Paul Verhoeven,"['Gary Scott Thompson', 'Andrew W. Marlowe']",-,112,Accion,hollow man,tt0164052
,3.2,Rafael Eisenman,"['Zalman King', ""Elise D'Haene""]","Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has indirectly lured him into the situation, and the models that were hired locally are skilled weapons handlers and dealers. The ship is on its way to meet a South African submarine to whom ... Leer todo",85,Accion,black sea 213,tt0165642
38,3.5,"['Rodney Mc', 'Donald']",C. Courtney Joyner,"Over one hundred years ago, a cataclysmic chain of events plummeted the earth into the dark ages which destroyed most of civilization, and the remaining few survivors attempt to change the course of events that led to the destruction.",97,Accion,nautilus,tt0165400
32,6.1,Andrzej Bartkowiak,"['Mitchell Kapner', 'Eric Bernt', 'John Jarrell']",-,115,Accion,romeo must die,tt0165929
,4.6,Jeremy Haft,Alex Metcalf,-,90,Accion,red team,tt0167367
,2.6,John One,Chrissy Mountjoy,"Glori-Anne Gilbert is an ""ugly duckling"" who, by making a pact with the Dream Witch, becomes endowed with the beauty, wealth and sexual power of her friends.",70,Accion,dream witch,tt0168714
37,5.6,Scott Wiper,Scott Wiper,A Chicago cop quits the force and finds himself threatened by the Mafia.,101,Accion,a better way to die,tt0168504
20,5.1,John Leekley,"['John Leekley', 'Evan Rhodes']","A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself.",109,Accion,prince of central park,tt0170452
79,8.5,Ridley Scott,"['David Franzoni', 'John Logan', 'William Nicholson']",-,155,Accion,gladiator,tt0172495
,9.0,Donald Borza II,Donald Borza II,"Veteran WWII fighter pilot, Joe Sarnowski, reflects back on his service as an American fighter ace. His pained memories of both love and war are told in the classic WWII movie tradition with a very unique and bold style.",100,Accion,the thundering 8th,tt0171827
,1.8,Damiano Damiani,Dardano Sacchetti,"Alessandro Corso is a special forces carabiniere. During an operation he saves a child but cause the death of one of his comrades. He's then transferred to a peaceful little town, where he will be unexpectedly forced to help an hot witness named Antavleva, protecting her and bringing them safely to the trial.",122,Accion,alex l'ariete,tt0172109
,3.1,Neil Mandt,"['Mark Twain', 'Gregory Poppen']",-,91,Accion,the million dollar kid,tt0172464
20,2.7,Joseph Zito,"['Clay Mc', 'Bride']",An elite commando unit must rescue a captured peacekeeping force from a ruthless international arms dealer.,93,Accion,delta force one: the lost patrol,tt0176650
0,2.4,Rune Bendixen,"['Rune Bendixen', 'Majken Gilmartin', 'L.M. Kit Carson']",A man on the run is surprised to learn that he is a Knight Templar and that his girlfriend is a holy virgin about to give birth to a very special baby on Christmas Day.,90,Accion,bullfighter,tt0176579
46,6.5,Wolfgang Petersen,"['Sebastian Junger', 'William D. Wittliff']",-,130,Accion,the perfect storm,tt0177971
,4.5,Geoff Murphy,"['Steven Feinberg', 'Troy Neighbors', 'John Flock']",-,92,Accion,fortress 2,tt0179183
